Year_Month,Fuel_Category,County,Count
2020/10,Electric,QUEEN ANNES,91
2020/10,Electric,SAINT MARYS,159
2020/10,Electric,SOMERSET,3
2020/10,Electric,TALBOT,80
2020/10,Electric,UNKNOWN,30
2020/10,Electric,WASHINGTON,145
2020/10,Electric,WICOMICO,59
2020/10,Electric,WORCESTER,49
2020/10,Electric,CA,2
2020/10,Electric,TX,1
2020/10,Plug-in Hybrid,ALLEGANY,39
2020/10,Plug-in Hybrid,ANNE ARUNDEL,1161
2020/10,Plug-in Hybrid,BALTIMORE,1276
2020/10,Plug-in Hybrid,BALTIMORE CITY,638
2020/10,Plug-in Hybrid,CALVERT,166
2020/10,Plug-in Hybrid,CAROLINE,22
2020/10,Plug-in Hybrid,CARROLL,243
2020/10,Plug-in Hybrid,CECIL,79
2020/10,Plug-in Hybrid,CHARLES,180
2020/10,Plug-in Hybrid,DORCHESTER,24
2020/10,Plug-in Hybrid,FREDERICK,710
2020/10,Plug-in Hybrid,GARRETT,6
2020/10,Plug-in Hybrid,HARFORD,302
2020/10,Plug-in Hybrid,HOWARD,1177
2020/10,Plug-in Hybrid,KENT,36
2020/10,Plug-in Hybrid,MONTGOMERY,3702
2020/10,Plug-in Hybrid,PRINCE GEORGES,981
2020/10,Plug-in Hybrid,QUEEN ANNES,91
2020/10,Plug-in Hybrid,SAINT MARYS,174
2020/10,Plug-in Hybrid,SOMERSET,8
2020/10,Plug-in Hybrid,TALBOT,87
2020/10,Plug-in Hybrid,UNKNOWN,18
2020/10,Plug-in Hybrid,WASHINGTON,164
2020/10,Plug-in Hybrid,WICOMICO,92
2020/10,Plug-in Hybrid,WORCESTER,68
2020/10,Plug-in Hybrid,CO,2
2020/10,Plug-in Hybrid,DE,1
2020/10,Plug-in Hybrid,IL,1
2020/10,Plug-in Hybrid,KY,1
2020/10,Plug-in Hybrid,OH,2
2020/10,Plug-in Hybrid,TN,1
2020/10,Plug-in Hybrid,WA,1
2020/11,Electric,ALLEGANY,37
2020/11,Electric,ANNE ARUNDEL,1783
2020/11,Electric,BALTIMORE,1715
2020/11,Electric,BALTIMORE CITY,823
2020/11,Electric,CALVERT,162
2020/11,Electric,CAROLINE,7
2020/11,Electric,CARROLL,336
2020/11,Electric,CECIL,95
2020/11,Electric,CHARLES,223
2020/11,Electric,DORCHESTER,24
2020/11,Electric,FREDERICK,811
2020/11,Electric,GARRETT,16
2020/11,Electric,HARFORD,369
