Supercharger,Street Address,City,State,Zipcode,Country,GPS,Statues,Open Date
"Gilroy, CA",681 Leavesley Rd,Gilroy,CA,95020,USA,"37.02493, -121.56542",OPEN,11/19/12
"Cabazon, CA",48400 Seminole Dr,Cabazon,CA,92230,USA,"33.93129, -116.820041",OPEN,12/17/14
"San Clemente, CA",99 West Avenida Vista Hermosa,San Clemente,CA,92672,USA,"33.437177, -117.62712",OPEN,11/17/17
"Kettleman City, CA",33360 Powers Dr,Kettleman City,CA,93239,USA,"35.987651, -119.962336",OPEN,11/15/17
"Anaheim - Santa Ana Canyon Rd, CA",8148 E Santa Ana Canyon Rd,Anaheim,CA,92808,USA,"33.866724, -117.747373",OPEN,5/15/19
"Yermo, CA",36017 Calico Rd,Yermo,CA,92398,USA,"34.907217, -116.835801",OPEN,11/23/17
"Burbank-North Third St, CA","501 N 3rd St, Top Parking Level",Burbank,CA,91502,USA,"34.18487, -118.311672",OPEN,9/14/17
"Sacramento - Arden Way, CA",1689 Arden Way,Sacramento,CA,95815,USA,"38.603327, -121.42853",OPEN,8/11/18
"Harris Ranch, CA",24505 W Dorris Ave,Coalinga,CA,93210,USA,"36.25415, -120.237896",OPEN,11/19/12
"Turlock, CA",3000 Countryside Dr,Turlock,CA,95380,USA,"37.520397, -120.879689",PERMIT,
"Yuba City, CA",1475 Tharp Rd,Yuba City,CA,95993,USA,"39.147833, -121.647861",OPEN,2/5/19
"San Diego - Camino Del Sur, CA",17170 Camino Del Sur,San Diego,CA,92127,USA,"33.020052, -117.126278",OPEN,1/12/19
"Menifee, CA",30340 Haun Rd,Menifee,CA,92584,USA,"33.679646, -117.174095",OPEN,9/30/19
"Windsor, CA",8852 Lakewood Dr,Windsor,CA,95492,USA,"38.549856, -122.805465",CONSTRUCTION,
"San Ramon - Diablo Plaza, CA",2415 San Ramon Valley Blvd,San Ramon,CA,94583,USA,"37.774766, -121.979789",OPEN,4/5/19
"San Luis Obispo, CA","Madonna Inn, 100 Madonna Rd",San Luis Obispo,CA,93405,USA,"35.265182, -120.676288",OPEN,5/6/18
"Napa, CA",Devlin Rd & Airport Blvd,Napa,CA,94558,USA,"38.2356, -122.264",OPEN,7/11/16
"Lake Elsinore, CA",17600 Collier Ave,Lake Elsinore,CA,92530,USA,"33.698437, -117.349113",OPEN,3/1/18
"San Jose - Blossom Hill Rd, CA",1375 Blossom Hill Rd,San Jose,CA,95118,USA,"37.244638, -121.891141",OPEN,5/17/19
"Rancho Cucamonga, CA",12505 North Main St,Rancho Cucamonga,CA,91739,USA,"34.113592, -117.529406",OPEN,11/20/14
"Manhattan Beach, CA",3200 N Sepulveda Blvd,Manhattan Beach,CA,90266,USA,"33.901472, -118.393833",OPEN,12/6/18
"Crescent City, CA",1000 Front St,Crescent City,CA,95531,USA,"41.752393, -124.1944",OPEN,9/8/16
"San Jose - Santana Row, CA",330 Winchester Blvd,San Jose,CA,95128,USA,"37.322234, -121.949226",OPEN,2/2/19
"Thousand Oaks - East Thousand Oaks Blvd, CA",180 Promenade Way,Thousand Oaks,CA,91362,USA,"34.158291, -118.82363",OPEN,3/21/18
"Irvine - Michelson Dr, CA",3021 Michelson Dr,Irvine,CA,92612,USA,"33.673394, -117.844666",OPEN,10/20/19
"Morgan Hill, CA",1061 Cochrane Rd,Morgan Hill,CA,95037,USA,"37.156827, -121.653693",OPEN,10/24/19
"Montecito, CA",1595 S Jameson Ln,Santa Barbara,CA,93108,USA,"34.420561, -119.627239",PERMIT,
"Watsonville, CA",1415 Main St,Watsonville,CA,95076,USA,"36.916349, -121.773512",OPEN,7/24/19
"Carlsbad, CA",7710 El Camino Real,Carlsbad,CA,92009,USA,"33.084189, -117.266384",OPEN,9/28/18
"Downey - Lakewood Blvd, CA",9588 Lakewood Blvd,Downey,CA,90240,USA,"33.953335, -118.112914",OPEN,5/25/18
"Huntington Beach, CA",7777 Edinger Ave,Huntington Beach,CA,92647,USA,"33.733239, -117.99457",PERMIT,
"Los Gatos, CA",192 Saratoga Los Gatos Rd,Los Gatos,CA,95030,USA,"37.229926, -121.979384",OPEN,9/24/18
"Corona, CA",2615 Tuscany St,Corona,CA,92881,USA,"33.826338, -117.515411",OPEN,3/30/19
"Fontana, CA",15234 Summit Ave,Fontana,CA,92336,USA,"34.151177, -117.471412",OPEN,3/30/19
"Pasadena, CA",155 E Green St,Pasadena,CA,91105,USA,"34.144835, -118.146609",OPEN,11/26/19
"Rohnert Park, CA",475 Rohnert Park Expy W,Rohnert Park,CA,94928,USA,"38.3475, -122.720944",OPEN,5/9/19
"Pleasanton, CA",6000 Johnson Dr,Pleasanton,CA,94588,USA,"37.700508, -121.908364",OPEN,5/1/19
"Milpitas, CA",901 East Calaveras Blvd,Milpitas,CA,95035,USA,"37.434536, -121.891387",OPEN,11/16/18
"Los Angeles - Francisco St, CA",899 South Francisco St,Los Angeles,CA,90015,USA,"34.047424, -118.264589",OPEN,3/7/19
"Ojai, CA",987 W Ojai Ave,Ojai,CA,93023,USA,"34.441994, -119.258898",OPEN,7/23/19
"El Cerrito, CA",180 El Cerrito Plz,El Cerrito,CA,94530,USA,"37.898575, -122.30073",OPEN,7/3/20
"San Ramon, CA",2610 Bishop Dr,San Ramon,CA,94583,USA,"37.76292, -121.963662",OPEN,8/30/18
"Williams, CA",464 6th St,Williams,CA,95987,USA,"39.15608, -122.149408",OPEN,12/19/19
"Novato, CA",208 Vintage Way,Novato,CA,94945,USA,"38.089447, -122.551755",OPEN,3/28/20
"San Francisco - Letterman Drive, CA",Truby St,San Francisco,CA,94129,USA,"37.798513, -122.449846",OPEN,5/23/19
"Central Santa Monica, CA",1401 Santa Monica Blvd,Santa Monica,CA,90404,USA,"34.024585, -118.485771",PERMIT,
"Glendale, CA","877 Americana Way, Parking level 7",Glendale,CA,91210,USA,"34.145099, -118.256433",OPEN,3/30/18
"Santa Rosa, CA",380 Coddingtown Way,Santa Rosa,CA,95401,USA,"38.459554, -122.73023",OPEN,11/20/19
"San Carlos, CA",1127 Industrial Rd,San Carlos,CA,94070,USA,"37.502912, -122.245569",OPEN,7/2/18
"Petaluma, CA",401 Kenilworth Dr #1030,Petaluma,CA,94952,USA,"38.242693, -122.625049",OPEN,2/3/15
"Fairfield - Holiday Lane, CA",1350 Holiday Ln,Fairfield,CA,94534,USA,"38.256667, -122.065139",OPEN,5/11/19
"Milpitas - Great Mall, CA",1234 Great Mall Dr,Milpitas,CA,95035,USA,"37.413353, -121.897995",OPEN,9/20/19
"Santa Monica - Santa Monica Place, CA",395 Santa Monica Place,Santa Monica,CA,90401,USA,"34.013087, -118.493843",OPEN,2/20/19
"Vallejo, CA",904 Admiral Callaghan Ln,Vallejo,CA,94591,USA,"38.131215, -122.223369",OPEN,6/21/19
"Livermore, CA",2774 Livermore Outlets Dr,Livermore,CA,94551,USA,"37.700349, -121.841063",OPEN,11/22/18
"Laytonville, CA",45020 North Highway 101,Laytonville,CA,95454,USA,"39.689269, -123.483443",OPEN,6/28/19
"Tejon Ranch, CA",5602 Dennis McCarthy Dr,Lebec,CA,93243,USA,"34.98734, -118.94623",OPEN,11/19/12
"Hayward, CA",19661 Hesperian Blvd,Hayward,CA,94541,USA,"37.667227, -122.120338",OPEN,6/22/19
"Palo Alto - Stanford Shopping Center, CA",660 Stanford Shopping Center,Palo Alto,CA,94304,USA,"37.441722, -122.170271",OPEN,11/5/19
"Manteca, CA",960 Perimeter Dr,Manteca,CA,95337,USA,"37.782622, -121.228683",OPEN,2/12/15
"Napa - Factory Stores Drive, CA",629 Factory Stores Dr,Napa,CA,94558,USA,"38.297635, -122.302617",OPEN,11/16/19
"Corte Madera, CA",1618 Redwood Hwy,Corte Madera,CA,94925,USA,"37.928278, -122.514823",OPEN,2/12/19
"Big Sur, CA",48123 Highway 1,Big Sur,CA,93920,USA,"36.226876, -121.761506",OPEN,5/24/19
"Palm Springs, CA",N Museum Dr at N Belardo Rd,Palm Springs,CA,92262,USA,"33.824931, -116.548824",OPEN,6/19/19
"San Diego - Friars Road, CA",7007 Friars Rd,San Diego,CA,92108,USA,"32.769144, -117.166271",OPEN,2/1/19
"Antioch, CA",5769 Lone Tree Way,Antioch,CA,94531,USA,"37.963695, -121.737262",OPEN,3/20/19
"Rancho Mirage, CA",71800 CA-111,Rancho Mirage,CA,92270,USA,"33.741311, -116.409258",OPEN,9/18/19
"San Jose (South), CA",5630 Cottle Rd,San Jose,CA,95123,USA,"37.250017, -121.802656",PERMIT,
"Chico, CA",1951 E 20th St,Chico,CA,95928,USA,"39.726633, -121.802538",OPEN,6/19/19
"San Jose - Coleman Ave, CA",533 Coleman Ave,San Jose,CA,95110,USA,"37.339661, -121.905085",OPEN,9/1/18
"Marin City, CA",190 Donahue St,Sausalito,CA,94965,USA,"37.872835, -122.510499",OPEN,9/3/20
"Alameda, CA",523 South Shore Center,Alameda,CA,94501,USA,"37.756265, -122.249306",OPEN,12/16/18
"San Diego - Del Mar Heights Rd, CA",Del Mar Heights Rd,San Diego,CA,92130,USA,"32.952645, -117.235974",OPEN,5/19/19
"Placerville, CA",1184 Broadway,Placerville,CA,95667,USA,"38.730606, -120.788085",OPEN,8/31/19
"Richmond - Pierce St, CA",3288 Pierce St,Richmond,CA,94804,USA,"37.898736, -122.308672",OPEN,5/30/20
"San Diego - A Street, CA",1350 6th Ave,San Diego,CA,92101,USA,"32.719384, -117.159567",OPEN,6/27/18
"Los Altos, CA",4800 El Camino Real,Los Altos,CA,94022,USA,"37.398894, -122.110682",OPEN,8/7/20
"Mission Viejo, CA",555 Shops Blvd,Mission Viejo,CA,92691,USA,"33.557279, -117.668035",OPEN,3/25/20
"Visalia, CA",6610 Betty Dr,Visalia,CA,93291,USA,"36.353167, -119.426384",PERMIT,
"Elk Grove - Elk Grove Blvd, CA",8451 Elk Grove Blvd,Elk Grove,CA,95758,USA,"38.409389, -121.391028",OPEN,7/21/20
"Walnut Creek, CA",1181 Locust St,Walnut Creek,CA,94596,USA,"37.895277, -122.061828",OPEN,10/24/19
"Manteca - Spreckels Ave, CA",280 Spreckels Ave,Manteca,CA,95366,USA,"37.795975, -121.19771",OPEN,5/9/20
"Scotts Valley, CA",230 Mount Hermon Rd,Scotts Valley,CA,95066,USA,"37.047608, -122.027743",OPEN,1/30/20
"Oakland - Hegenberger Rd, CA",640 Hegenberger Rd,Oakland,CA,94621,USA,"37.746403, -122.195614",OPEN,6/18/20
"Lincoln - Groveland Lane, CA",950 Groveland Ln,Lincoln,CA,95648,USA,"38.869969, -121.303187",OPEN,10/15/20
"Sacramento - Freeport Blvd, CA",4700 Freeport Blvd,Sacramento,CA,95822,USA,"38.533691, -121.4961",OPEN,9/30/20
"Riverside - Canyon Springs Pkwy, CA",2755 Canyon Springs Pkwy,Riverside,CA,92507,USA,"33.939957, -117.282508",OPEN,2/25/20
"Anaheim - E Katella Ave, CA",2404 E Katella Ave,Anaheim,CA,92806,USA,"33.805168, -117.882173",OPEN,12/24/19
"Adelanto, CA",12059 Cactus Rd,Adelanto,CA,92301,USA,"34.535312, -117.400374",PERMIT,
"Needles, CA",2451 Needles Hwy,Needles,CA,92363,USA,"34.850835, -114.624329",OPEN,1/16/15
"San Bernardino, CA",400 Inland Center Dr,San Bernardino,CA,92408,USA,"34.08407, -117.299314",OPEN,6/8/18
"San Jose - Cherry Avenue, CA",5160 Cherry Ave,San Jose,CA,95118,USA,"37.258506, -121.871476",OPEN,12/22/18
"Thousand Oaks - West Hillcrest Drive, CA",350 West Hillcrest Dr,Thousand Oaks,CA,91360,USA,"34.18445, -118.890747",OPEN,8/5/18
"Los Angeles - Alameda St, CA",777 Alameda St,Los Angeles,CA,90021,USA,"34.033502, -118.240852",OPEN,9/17/20
"Cerritos, CA",239 Los Cerritos Center,Cerritos,CA,90703,USA,"33.8643904, -118.0915723",OPEN,9/4/20
"Tahoe City, CA",140 N. Lake Blvd,Tahoe City,CA,96145,USA,"39.167793, -120.14453",OPEN,11/15/19
"South San Francisco, CA",250 Gateway Blvd,South San Francisco,CA,94080,USA,"37.655243, -122.401321",OPEN,2/14/20
"Palmdale, CA",1233 Rancho Vista Blvd,Palmdale,CA,93551,USA,"34.606207, -118.151386",OPEN,10/19/20
"Hawthorne - W 120th St, CA",2700 W 120th St,Hawthorne,CA,90250,USA,"33.923198, -118.322218",OPEN,10/5/20
"Hawthorne - El Segundo Blvd, CA",4427 W El Segundo Blvd,Hawthorne,CA,90250,USA,"33.918036, -118.353197",OPEN,11/22/19
"Roseville - Galleria Boulevard, CA",1112 Galleria Blvd,Roseville,CA,95678,USA,"38.767949, -121.263356",OPEN,2/18/20
"Red Bluff, CA",94 Belle Mill Rd,Red Bluff,CA,96080,USA,"40.182152, -122.227452",OPEN,11/26/19
"Pismo Beach, CA",333 Five Cities Dr,Pismo Beach,CA,93449,USA,"35.136408, -120.628662",OPEN,6/8/20
"Buena Park - Beach Blvd, CA",6911 Brenner Ave,Buena Park,CA,90621,USA,"33.86044, -117.996347",OPEN,6/17/20
"Hermosa Beach, CA",710 16th St,Hermosa Beach,CA,90254,USA,"33.864955, -118.394819",OPEN,6/10/20
"Fresno - River Park, CA",7965 N Blackstone Ave,Fresno,CA,93720,USA,"36.85085698, -119.79142427",PERMIT,
"Beaumont, CA",1551 E 2nd St,Beaumont,CA,92223,USA,"33.922543, -116.949167",OPEN,7/2/20
"Santa Clara, CA",3945 Rivermark Plaza,Santa Clara,CA,95054,USA,"37.394816, -121.945157",OPEN,9/17/20
"San Francisco, CA",601 Van Ness Ave,San Francisco,CA,94102,USA,"37.781296, -122.421394",OPEN,8/14/20
"Santa Cruz, CA",911 Soquel Ave,Santa Cruz,CA,95062,USA,"36.978635, -122.013968",OPEN,7/18/20
"Modesto - Sisk Rd, CA",3900 Sisk Rd,Modesto,CA,95356,USA,"37.694343, -121.064215",OPEN,7/13/20
"Traver, CA",36005 CA-99,Traver,CA,93673,USA,"36.44881, -119.486404",OPEN,11/18/20
"Greenbrae, CA","Bon Air Center, Sir Francis Drake Blvd",Greenbrae,CA,94904,USA,"37.944776, -122.522706",OPEN,12/16/20
"Menlo Park, CA",325 Sharon Park Dr,Menlo Park,CA,94025,USA,"37.423372, -122.198189",OPEN,11/21/19
"Torrance, CA",3490 Fashion Way,Torrance,CA,90503,USA,"33.834811, -118.349039",OPEN,1/22/21
"Chula Vista, CA",910 Eastlake Pkwy,Chula Vista,CA,91915,USA,"32.649168, -116.9676",OPEN,8/4/20
"Marina Del Rey, CA",13534 Bali Way,Marina Del Rey,CA,90292,USA,"33.980756, -118.444472",PERMIT,
"Malibu - Whole Foods and the Park, CA",23401 Civic Center Way,Malibu,CA,90265,USA,"34.037043, -118.685809",OPEN,6/13/19
"Malibu, CA",3862 Cross Creek Rd,Malibu,CA,90265,USA,"34.036024, -118.684095",OPEN,12/17/20
"Greenfield, CA",560 Walnut Ave,Greenfield,CA,93927,USA,"36.32925, -121.245444",OPEN,12/15/20
"Sand City, CA",2040 California Ave,Sand City,CA,93955,USA,"36.6211336, -121.8446388",CONSTRUCTION,
"San Mateo - Hillsdale Boulevard, CA",1308 W Hillsdale Blvd,San Mateo,CA,94403,USA,"37.533306, -122.327472",OPEN,1/6/21
"Olema, CA",10005 Coastal Hwy,Olema,CA,94950,USA,"38.040224, -122.788345",PERMIT,
"San Clemente - Av. Vista Hermosa, CA",990 Avenida Vista Hermosa,San Clemente,CA,92673,USA,"33.463091, -117.60783",OPEN,10/1/20
"Placerville - Missouri Flat Rd, CA",3968 Missouri Flat Rd,Placerville,CA,95667,USA,"38.709859, -120.842571",CONSTRUCTION,
"Mt. Shasta, CA",111 Morgan Way,Mt. Shasta,CA,96067,USA,"41.310233, -122.317278",OPEN,10/23/13
