NAME,POP,DATE_CODE,DATE_DESC,metropolitan statistical area/micropolitan statistical area
"Kennewick-Richland, WA Metro Area",290096,10,7/1/2017 population estimate,28420
"Lewiston, ID-WA Metro Area",62798,10,7/1/2017 population estimate,30300
"Longview, WA Metro Area",106805,10,7/1/2017 population estimate,31020
"Bellingham, WA Metro Area",225197,11,7/1/2018 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",269276,11,7/1/2018 population estimate,14740
"Wenatchee, WA Metro Area",119501,11,7/1/2018 population estimate,48300
"Yakima, WA Metro Area",250562,11,7/1/2018 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",127835,11,7/1/2018 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",286056,11,7/1/2018 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2473350,11,7/1/2018 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3935179,11,7/1/2018 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",558827,11,7/1/2018 population estimate,44060
"Kennewick-Richland, WA Metro Area",295289,11,7/1/2018 population estimate,28420
"Lewiston, ID-WA Metro Area",62872,11,7/1/2018 population estimate,30300
"Longview, WA Metro Area",108752,11,7/1/2018 population estimate,31020
"Bellingham, WA Metro Area",229247,12,7/1/2019 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",271473,12,7/1/2019 population estimate,14740
"Wenatchee, WA Metro Area",120629,12,7/1/2019 population estimate,48300
"Yakima, WA Metro Area",250873,12,7/1/2019 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",129205,12,7/1/2019 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",290536,12,7/1/2019 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2492412,12,7/1/2019 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3979845,12,7/1/2019 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",568521,12,7/1/2019 population estimate,44060
"Kennewick-Richland, WA Metro Area",299612,12,7/1/2019 population estimate,28420
"Lewiston, ID-WA Metro Area",62990,12,7/1/2019 population estimate,30300
"Longview, WA Metro Area",110593,12,7/1/2019 population estimate,31020
